Fecha;Provincia;test_rapidos_total;test_rapidos_positivos;test_antigenos_total;test_antigenos_positivos;pcr_total;pcr_positivos;codigo_ine;total_pruebas;total_pruebas_positivas;test_porcentaje;pcr_porcentaje;porcentaje_total;sigla;antigenos_porcentaje
2024-08-23;León;94931;6582;559120;106870;587914;52170;24089;1241965;165622;6.9334569318768375;8.873746840524294;13.335480468451205;LE;19
2024-08-23;Soria;42499;2778;110239;22858;175497;11501;42173;328235;37137;6.536624391162145;6.553388377009293;11.314149923073408;SO;20
2024-08-23;Ávila;47661;1998;213387;40019;199476;14368;5019;460524;56385;4.19210675394977;7.202871523391286;12.243661568126743;AV;18
2024-08-23;Valladolid;88204;3707;576489;148112;779336;63671;47186;1444029;215490;4.2027572445694075;8.169903610252831;14.922830497171455;VA;25
2024-08-23;Burgos;78510;4529;395142;92500;563168;41765;9059;1036820;138794;5.7686918863839;7.416081879652253;13.38650874790224;BU;23
2024-08-23;Palencia;43255;1625;237978;46163;239896;21958;34120;521129;69746;3.756791122413594;9.153133024310534;13.38363437843605;PA;19
2024-08-23;Salamanca;62156;3994;299787;83919;433012;35899;37274;794955;123812;6.425767423901152;8.290532363999151;15.574718065802468;SA;27
2024-08-23;Segovia;44271;5267;182203;31742;244036;20343;40004;470510;57352;11.89717874003298;8.336065170712518;12.189326475526556;SE;17
2024-08-23;Zamora;41798;1944;171164;41368;250625;20976;49275;463587;64288;4.650940236374946;8.369476309226933;13.86751569824003;ZA;24
2024-08-23;Castilla y León;543285;32424;2745509;613551;3472960;282651;99999;6761754;928626;5.968138269968801;8.138619506127338;13.73350760764145;CyL;22
2024-08-22;Burgos;78510;4529;395133;92499;563141;41763;9059;1036784;138791;5.7686918863839;7.416082295552978;13.38668420808963;BU;23
2024-08-22;Segovia;44271;5267;182190;31740;244024;20342;40004;470485;57349;11.89717874003298;8.336065305051962;12.18933653570252;SE;17
2024-08-22;Soria;42499;2778;110216;22854;175489;11500;42173;328204;37132;6.536624391162145;6.5531172894027545;11.313695140827047;SO;20
2024-08-22;Valladolid;88204;3707;576470;148110;779295;63670;47186;1443969;215487;4.2027572445694075;8.170205121295531;14.923242811999426;VA;25
2024-08-22;Ávila;47661;1998;213378;40018;199457;14366;5019;460496;56382;4.19210675394977;7.202554936653013;12.243754560300198;AV;18
2024-08-22;Palencia;43255;1625;237971;46161;239896;21958;34120;521122;69744;3.756791122413594;9.153133024310534;13.383430367553087;PA;19
2024-08-22;León;94931;6582;559071;106867;587907;52169;24089;1241909;165618;6.9334569318768375;8.873682402148638;13.335759705421252;LE;19
2024-08-22;Salamanca;62156;3994;299763;83914;433012;35899;37274;794931;123807;6.425767423901152;8.290532363999151;15.574559301373329;SA;27
2024-08-22;Zamora;41798;1944;171146;41366;250612;20976;49275;463556;64286;4.650940236374946;8.369910459195887;13.868011631820105;ZA;24
2024-08-22;Castilla y León;543285;32424;2745338;613529;3472833;282643;99999;6761456;928596;5.968138269968801;8.13868677244198;13.733669197876907;CyL;22
2024-08-21;Ávila;47661;1998;213367;40016;199441;14364;5019;460469;56378;4.19210675394977;7.202129953219248;12.243603803947714;AV;18
2024-08-21;Salamanca;62156;3994;299741;83911;433011;35899;37274;794908;123804;6.425767423901152;8.29055151023877;15.574632536092228;SA;27
2024-08-21;Soria;42499;2778;110199;22849;175476;11500;42173;328174;37127;6.536624391162145;6.553602771889033;11.313205799362533;SO;20
2024-08-21;Burgos;78508;4528;395119;92497;563106;41762;9059;1036733;138787;5.767565088908136;7.416365657620412;13.38695691176031;BU;23
2024-08-21;León;94930;6582;558988;106856;587885;52166;24089;1241803;165604;6.9335299694511745;8.873504171734266;13.335770649611895;LE;19
2024-08-21;Segovia;44271;5267;182183;31740;244014;20340;40004;470468;57347;11.89717874003298;8.335587302367898;12.189351879405189;SE;17
2024-08-21;Zamora;41798;1944;171121;41358;250598;20976;49275;463517;64278;4.650940236374946;8.370378055690788;13.867452542193707;ZA;24
2024-08-21;Palencia;43255;1625;237951;46158;239881;21957;34120;521087;69740;3.756791122413594;9.15328850555067;13.383561670124184;PA;19
2024-08-21;Valladolid;88204;3707;576439;148106;779259;63668;47186;1443902;215481;4.2027572445694075;8.170325912180674;14.92351974025938;VA;25
2024-08-21;Castilla y León;543282;32423;2745108;613491;3472671;282632;99999;6761061;928546;5.967987159523047;8.138749682880988;13.73373202815357;CyL;22
2024-08-20;Ávila;47661;1998;213355;40015;199433;14364;5019;460449;56377;4.19210675394977;7.202418857460902;12.243918436135164;AV;18
2024-08-20;Segovia;44269;5266;182175;31738;243997;20338;40004;470441;57342;11.895457317761865;8.335348385430969;12.188988629817555;SE;17
2024-08-20;Burgos;78508;4528;395106;92495;563067;41758;9059;1036681;138781;5.767565088908136;7.416168946146728;13.387049632432735;BU;23
2024-08-20;Palencia;43255;1625;237939;46155;239880;21956;34120;521074;69736;3.756791122413594;9.152909788227447;13.383127924248765;PA;19
2024-08-20;Salamanca;62156;3994;299718;83910;433010;35899;37274;794884;123803;6.425767423901152;8.290570656566823;15.57497697777286;SA;27
2024-08-20;Soria;42499;2778;110180;22846;175458;11499;42173;328137;37123;6.536624391162145;6.55370516020928;11.313262448306652;SO;20
2024-08-20;Valladolid;88204;3707;576412;148101;779205;63666;47186;1443821;215474;4.2027572445694075;8.170635455367972;14.923872142045308;VA;25
2024-08-20;Castilla y León;543280;32422;2744907;613466;3472513;282621;99999;6760700;928509;5.96782506258283;8.138803224062805;13.733918085405358;CyL;22
2024-08-20;León;94930;6582;558921;106849;587877;52166;24089;1241728;165597;6.9335299694511745;8.873624924941783;13.336012395629314;LE;19
2024-08-20;Zamora;41798;1944;171101;41357;250586;20975;49275;463485;64276;4.650940236374946;8.370379829679232;13.867978467480068;ZA;24
2024-08-19;Ávila;47661;1998;213333;40011;199420;14364;5019;460414;56373;4.19210675394977;7.202888376291244;12.243980417624138;AV;18
2024-08-19;Burgos;78506;4528;395094;92493;563014;41755;9059;1036614;138776;5.7677120220110565;7.416334229699439;13.387432544804529;BU;23
2024-08-19;Salamanca;62156;3994;299697;83907;433009;35899;37274;794862;123800;6.425767423901152;8.29058980298331;15.57503063424846;SA;27
2024-08-19;Valladolid;88204;3707;576386;148099;779149;63663;47186;1443739;215469;4.2027572445694075;8.170837670330066;14.924373449771739;VA;25
2024-08-19;León;94929;6582;558852;106836;587847;52164;24089;1241628;165582;6.933603008564296;8.8737375541595;13.335878379031401;LE;19
2024-08-19;Palencia;43255;1625;237928;46153;239869;21956;34120;521052;69734;3.756791122413594;9.153329525699444;13.38330915148584;PA;19
2024-08-19;Segovia;44268;5266;182170;31738;243983;20338;40004;470421;57342;11.895726032348424;8.33582667644877;12.189506845995396;SE;17
2024-08-19;Castilla y León;543276;32422;2744705;613436;3472309;282612;99999;6760290;928470;5.967869002127832;8.139022189557439;13.734174125666208;CyL;22
